"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","antibiotic_knowledge","attitude","practice","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49"
"25–35","Male","Postgraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Always",50,65,33.3333333333333,0,0,0,0,0,0,1,1,0
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Sometimes",79.1666666666667,70,66.6666666666667,0,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Often",37.5,75,50,0,1,1,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes",66.6666666666667,85,66.6666666666667,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",50,80,66.6666666666667,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",79.1666666666667,70,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",79.1666666666667,75,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Male","Undergraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Sometimes",87.5,75,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",70.8333333333333,65,50,0,1,1,0,0,0,0,0,0
"> 45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",83.3333333333333,65,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",50,60,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",50,50,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,55,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Never",58.3333333333333,80,83.3333333333333,0,1,0,0,0,0,0,0,0
"> 45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",83.3333333333333,60,50,0,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",79.1666666666667,55,50,0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",33.3333333333333,80,100,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",79.1666666666667,60,50,0,1,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",66.6666666666667,80,66.6666666666667,1,1,0,0,0,0,0,0,0
"25–35","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Often",83.3333333333333,55,50,0,1,0,0,0,0,1,0,0
"36–45","Female","Primary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9",">= 3","Mother","Never",0,75,83.3333333333333,1,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",58.3333333333333,75,66.6666666666667,1,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",79.1666666666667,60,50,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",75,65,66.6666666666667,0,1,0,0,0,0,0,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",83.3333333333333,60,83.3333333333333,0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",79.1666666666667,65,66.6666666666667,1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",87.5,60,66.6666666666667,0,0,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",75,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",54.1666666666667,60,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",54.1666666666667,65,16.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",45.8333333333333,75,50,0,1,0,0,0,0,1,1,0
"25–35","Female","Undergraduate","Self employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",54.1666666666667,60,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","1","Mother","Never",54.1666666666667,75,50,0,1,0,0,1,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Often",16.6666666666667,60,50,0,0,0,0,0,0,1,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",66.6666666666667,65,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes",75,75,100,0,1,0,0,0,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",41.6666666666667,75,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",70.8333333333333,65,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Father","Never",54.1666666666667,70,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",66.6666666666667,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Self employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",66.6666666666667,75,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",41.6666666666667,75,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",41.6666666666667,75,33.3333333333333,0,0,0,0,0,0,1,1,0
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",50,65,33.3333333333333,0,1,0,0,0,0,1,1,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",66.6666666666667,50,33.3333333333333,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10",">= 3","Mother","Never",54.1666666666667,60,50,0,1,0,0,0,0,1,0,0
"> 45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",83.3333333333333,60,83.3333333333333,1,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",79.1666666666667,65,83.3333333333333,1,1,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",54.1666666666667,55,16.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",54.1666666666667,75,83.3333333333333,0,1,1,0,1,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",75,60,83.3333333333333,0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",29.1666666666667,55,66.6666666666667,0,1,1,0,0,0,0,0,0
"> 45","Female","Primary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",41.6666666666667,60,83.3333333333333,0,1,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Sometimes",75,75,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",41.6666666666667,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",58.3333333333333,70,50,0,0,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",70.8333333333333,75,83.3333333333333,0,0,1,0,0,0,0,0,1
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",87.5,70,83.3333333333333,1,1,1,0,1,0,0,0,0
"> 45","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",62.5,60,83.3333333333333,0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",58.3333333333333,65,33.3333333333333,0,1,1,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",45.8333333333333,75,33.3333333333333,0,1,0,0,0,0,1,1,1
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",29.1666666666667,50,16.6666666666667,0,0,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",58.3333333333333,55,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",37.5,75,50,0,0,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Always",62.5,50,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Always",75,60,50,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",62.5,65,83.3333333333333,1,1,1,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",75,65,66.6666666666667,1,1,1,0,0,0,1,0,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",12.5,65,0,0,1,0,0,1,0,1,1,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",66.6666666666667,55,66.6666666666667,1,0,1,0,0,1,1,1,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",33.3333333333333,85,50,1,0,0,0,0,1,1,1,0
"36–45","Female","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",70.8333333333333,80,50,1,1,1,0,0,1,1,1,0
"25–35","Male","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",54.1666666666667,70,66.6666666666667,1,1,1,0,1,1,1,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Sometimes",62.5,85,83.3333333333333,1,0,1,0,0,1,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",50,60,66.6666666666667,0,1,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",58.3333333333333,70,50,0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",54.1666666666667,65,100,1,1,0,0,0,0,1,0,0
"36–45","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Sometimes",62.5,80,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",37.5,60,66.6666666666667,0,1,1,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",58.3333333333333,55,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Sometimes",45.8333333333333,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",45.8333333333333,75,66.6666666666667,0,1,0,0,0,0,0,0,0
"> 45","Male","Postgraduate","Self employed","Extended family","High (greater than 50000 BDT)","Female","> 10","2","Father","Never",66.6666666666667,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Primary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10",">= 3","Father","Sometimes",20.8333333333333,75,100,0,1,0,0,0,0,0,0,0
"> 45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10",">= 3","Mother","Never",62.5,80,100,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",29.1666666666667,60,83.3333333333333,0,1,0,0,0,0,0,0,0
"< 25","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",58.3333333333333,60,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",45.8333333333333,65,66.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",66.6666666666667,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",62.5,75,83.3333333333333,0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",41.6666666666667,65,83.3333333333333,0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","< 5","1","Father","Never",54.1666666666667,60,83.3333333333333,0,1,0,0,0,0,0,0,0
"< 25","Female","Undergraduate","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",37.5,60,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",41.6666666666667,75,83.3333333333333,0,1,0,0,0,0,0,0,0
"< 25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",54.1666666666667,65,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",58.3333333333333,65,83.3333333333333,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Sometimes",62.5,70,83.3333333333333,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",75,70,83.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",12.5,65,66.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","> 10",">= 3","Mother","Never",41.6666666666667,75,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",87.5,55,50,1,1,0,0,0,0,1,0,0
"36–45","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",62.5,95,100,1,1,1,0,0,0,1,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",66.6666666666667,65,66.6666666666667,1,1,0,0,0,0,1,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","1","Mother","Often",58.3333333333333,65,50,1,0,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","< 5","2","Mother","Often",45.8333333333333,90,33.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,65,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",45.8333333333333,75,66.6666666666667,0,1,1,0,0,0,0,0,0
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Often",20.8333333333333,55,50,0,1,1,0,1,0,0,1,0
"> 45","Male","Secondary","Employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",66.6666666666667,55,50,0,1,0,0,1,0,1,1,0
"> 45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",16.6666666666667,60,50,0,1,1,0,0,0,0,0,1
"> 45","Female","Primary","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10",">= 3","Mother","Never",33.3333333333333,65,66.6666666666667,0,1,0,0,0,0,0,0,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",37.5,70,66.6666666666667,0,1,1,0,1,0,0,0,0
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Never",37.5,65,50,0,1,0,0,0,0,0,0,1
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Always",58.3333333333333,65,66.6666666666667,0,1,1,0,0,0,0,1,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",12.5,80,50,0,1,0,0,0,0,1,1,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","5–9","2","Grandmother","Always",41.6666666666667,80,50,0,1,1,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",29.1666666666667,75,83.3333333333333,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Always",58.3333333333333,80,66.6666666666667,0,1,0,0,1,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Often",41.6666666666667,70,66.6666666666667,0,1,0,0,1,0,1,1,0
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Never",66.6666666666667,60,66.6666666666667,0,1,0,0,1,0,0,0,0
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Often",54.1666666666667,65,50,0,1,0,0,1,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,55,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",70.8333333333333,50,33.3333333333333,0,1,0,0,0,0,0,1,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",16.6666666666667,50,50,0,1,0,0,0,0,1,1,0
"36–45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10",">= 3","Mother","Never",16.6666666666667,55,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",66.6666666666667,65,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",12.5,45,50,0,1,0,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",62.5,55,33.3333333333333,0,1,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Sometimes",29.1666666666667,50,66.6666666666667,0,1,0,0,0,0,0,0,1
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","1","Mother","Never",50,70,66.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Postgraduate","Self employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",58.3333333333333,50,50,0,1,0,0,0,0,1,0,1
"36–45","Male","Undergraduate","Self employed","Extended family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,65,33.3333333333333,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Often",16.6666666666667,60,33.3333333333333,0,0,0,0,0,0,1,0,1
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,55,50,0,1,0,0,0,0,0,0,1
"36–45","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Always",54.1666666666667,70,50,0,1,0,0,0,0,0,0,0
"36–45","Male","Secondary","Employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",12.5,45,50,0,0,0,0,0,0,0,0,1
"> 45","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",66.6666666666667,65,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Male","Primary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","1","Grandmother","Never",12.5,50,66.6666666666667,0,1,0,0,0,0,0,0,0
"36–45","Female","Primary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",33.3333333333333,55,66.6666666666667,0,1,0,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",45.8333333333333,55,50,0,1,0,0,0,0,1,1,1
"< 25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",16.6666666666667,35,66.6666666666667,0,0,0,0,0,0,0,0,1
"25–35","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Never",58.3333333333333,80,83.3333333333333,0,1,1,0,0,0,0,0,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",54.1666666666667,65,83.3333333333333,0,1,1,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","< 5","2","Mother","Sometimes",75,60,83.3333333333333,0,1,1,0,0,0,0,1,0
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",66.6666666666667,70,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Male","Postgraduate","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",95.8333333333333,65,100,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",62.5,60,100,0,1,1,0,0,0,0,0,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",62.5,65,66.6666666666667,0,1,1,0,0,0,0,0,0
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male",NA,"2","Mother","Never",54.1666666666667,70,66.6666666666667,0,1,1,0,0,0,0,0,0
"36–45","Male","Undergraduate","Self employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",58.3333333333333,80,83.3333333333333,0,1,0,0,0,0,1,1,0
"36–45","Male","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,70,83.3333333333333,0,1,1,0,0,0,0,0,0
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",62.5,70,100,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",66.6666666666667,75,83.3333333333333,0,1,1,0,0,0,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",79.1666666666667,60,100,0,1,1,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",70.8333333333333,85,83.3333333333333,0,1,1,0,0,0,0,0,1
